"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Organization-model","","","",0,*,"","","","","","A social or legal structure formed by human beings.

Organization type is restricted to 0..1 in FHIR DSTU2, similarly restricted here.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model",0,*,"",""
"shr-core-Organization-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.metadata",0,1,"",""
"shr-core-Organization-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0023008
",,,,"shr-core-Organization-model.language",0,1,"",""
"shr-core-Organization-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.implicitRules",0,1,"",""
"shr-core-Organization-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.narrative",0,1,"",""
"shr-core-Organization-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/sw/shr/core/vs/ActiveOrInactiveVS","",,,,"shr-core-Organization-model.status",1,1,"",""
"shr-core-Organization-model.identifier","","","",1,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.identifier",1,*,"",""
"shr-core-Organization-model.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1561598
",,,,"shr-core-Organization-model.partOf",0,1,"",""
"shr-core-Organization-model.organizationName","","","",1,1,"","","","string {[]} {[]}
","The name of the organization.","The name of the organization.","","","","","","","","","",,,,,"",,,,"shr-core-Organization-model.organizationName",1,1,"",""
"shr-core-Organization-model.type","","","",0,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/organization-type","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-Organization-model.type",0,1,"",""
"shr-core-Organization-model.address","","","",1,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Address-model {[]} {[]}
","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0682130
",,,,"shr-core-Organization-model.address",1,*,"",""
"shr-core-Organization-model.contactPoint","","","",1,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ContactPoint-model {[]} {[]}
","An electronic means of contacting an organization or individual.","An electronic means of contacting an organization or individual.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2986441
",,,,"shr-core-Organization-model.contactPoint",1,*,"",""
