"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Dosage-model","","","",0,*,"","","","","","The dosage of the medication. The data structure is flexible and can describe a dosage prescribed, administered, or reported.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model",0,*,"",""
"shr-core-Dosage-model.doseAmount[x]","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-SimpleQuantity-model {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Range-model {[]} {[]}","The amount of medication taken per dose, as a quantity or range. Relative dose (e.g., per kg body weight or surface area) are indicated by specifying appropriate units (e.g., mg/kg or mg/m2 etc).","The amount of medication taken per dose, as a quantity or range. Relative dose (e.g., per kg body weight or surface area) are indicated by specifying appropriate units (e.g., mg/kg or mg/m2 etc).","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.doseAmount[x]",0,1,"",""
"shr-core-Dosage-model.timingOfDoses","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Timing-model {[]} {[]}
","When doses of medication should be administered.","When doses of medication should be administered.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.timingOfDoses",0,1,"",""
"shr-core-Dosage-model.asNeededIndicator[x]","","","",0,1,"","","","boolean {[]} {[]}
Coding {[]} {[]}","Indicates the pre-condition under which the drug or intervention should be used.","Indicates the pre-condition under which the drug or intervention should be used.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1883728
","type:$this}
","",,"open","shr-core-Dosage-model.asNeededIndicator[x]",0,1,"",""
"shr-core-Dosage-model.asNeededIndicatorCoding","CodeableConcept","","",1,1,"","","","Coding {[]} {[]}
","A set of codes drawn from different coding systems, representing the same concept.","A set of codes drawn from different coding systems, representing the same concept.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/medication-as-needed-reason","",,,,"shr-core-Dosage-model.asNeededIndicator[x]",0,1,"",""
"shr-core-Dosage-model.dosageInstructionsText","","","",0,1,"","","","string {[]} {[]}
","The directions (signetur) on the drug prescription or dispensing record.","The directions (signetur) on the drug prescription or dispensing record.","","","","","","","","","",,,,,"",,,,"shr-core-Dosage-model.dosageInstructionsText",0,1,"",""
"shr-core-Dosage-model.additionalDosageInstruction","","","",0,*,"","","","Coding {[]} {[]}
","Supplemental instructions - e.g. 'with meals'.","Supplemental instructions - e.g. 'with meals'.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/additional-instruction-codes","http://ncimeta.nci.nih.gov#C1644714
",,,,"shr-core-Dosage-model.additionalDosageInstruction",0,*,"",""
"shr-core-Dosage-model.routeIntoBody","","","",0,1,"","","","Coding {[]} {[]}
","The way a substance enters an organism after contact, particularly, the route of drug administration.","The way a substance enters an organism after contact, particularly, the route of drug administration.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/route-codes","http://ncimeta.nci.nih.gov#C0013153
",,,,"shr-core-Dosage-model.routeIntoBody",0,1,"",""
"shr-core-Dosage-model.dosageMethod","","","",0,1,"","","","Coding {[]} {[]}
","Technique for administering medication.","Technique for administering medication.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/administration-method-codes","http://ncimeta.nci.nih.gov#C1547585
",,,,"shr-core-Dosage-model.dosageMethod",0,1,"",""
"shr-core-Dosage-model.dosageBodyLocation","","","",0,1,"","","","Coding {[]} {[]}
","The anatomic site at which medical intervention is applied.","The anatomic site at which medical intervention is applied.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/us/sw/shr/core/vs/BodyLocationVS","http://ncimeta.nci.nih.gov#C0229986
",,,,"shr-core-Dosage-model.dosageBodyLocation",0,1,"",""
"shr-core-Dosage-model.maximumDosePerTimePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Ratio-model {[]} {[]}
","The maximum amount of a medication to be taken in a given period of time (e.g., no more than x in any 24-hour period)","The maximum amount of a medication to be taken in a given period of time (e.g., no more than x in any 24-hour period)","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0456603
",,,,"shr-core-Dosage-model.maximumDosePerTimePeriod",0,1,"",""
