"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Encounter-model","","","",0,*,"","","","","","A description of an interaction between a patient and healthcare provider(s) for the purpose of providing healthcare service(s) or assessing the health status of a patient.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model",0,*,"",""
"shr-core-Encounter-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.metadata",0,1,"",""
"shr-core-Encounter-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0023008
",,,,"shr-core-Encounter-model.language",0,1,"",""
"shr-core-Encounter-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.implicitRules",0,1,"",""
"shr-core-Encounter-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.narrative",0,1,"",""
"shr-core-Encounter-model.statusHistory","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-StatusHistory-model {[]} {[]}
","List of past encounter statuses","List of past encounter statuses","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.statusHistory",0,*,"",""
"shr-core-Encounter-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.status",1,1,"",""
"shr-core-Encounter-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.identifier",0,*,"",""
"shr-core-Encounter-model.timePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","A period of time defined by a start and end time, date, or year.","A period of time defined by a start and end time, date, or year.
If the start element is missing, the start of the period is not known. If the end element is missing, it means that the period is ongoing, or the start may be in the past, and the end date in the future, which means that period is expected/planned to end at the specified time. The end value includes any matching date/time. For example, the period 2011-05-23 to 2011-05-27 includes all the times from the start of the 23rd May through to the end of the 27th of May.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1948053
",,,,"shr-core-Encounter-model.timePeriod",0,1,"",""
"shr-core-Encounter-model.encounterDiagnosis","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EncounterDiagnosis-model {[]} {[]}
","A diagnosis, which is a disease or injury determined to be present through evaluation of patient history, examination, and/or review of laboratory data. This element is not a stand-alone representation of the condition that was diagnosed, but is meant to be used as an sub-structure in a resource, such as Encounter.","A diagnosis, which is a disease or injury determined to be present through evaluation of patient history, examination, and/or review of laboratory data. This element is not a stand-alone representation of the condition that was diagnosed, but is meant to be used as an sub-structure in a resource, such as Encounter.","","","","","","","","","",,,,,"",,,,"shr-core-Encounter-model.encounterDiagnosis",0,*,"",""
"shr-core-Encounter-model.patientSubjectOfRecord","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model]]}
","The SubjectOfRecord when restricted to being a Patient resource.","The SubjectOfRecord when restricted to being a Patient resource.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-Encounter-model.patientSubjectOfRecord",1,1,"",""
"shr-core-Encounter-model.type","","","",0,*,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/v3-ActEncounterCode","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-Encounter-model.type",0,*,"",""
"shr-core-Encounter-model.organization","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","A social or legal structure formed by human beings.","A social or legal structure formed by human beings.

Organization type is restricted to 0..1 in FHIR DSTU2, similarly restricted here.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1561598
",,,,"shr-core-Encounter-model.organization",0,1,"",""
