"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ClinicalNote-model","","","",0,*,"","","","","","An entry concerning a patient where the result is a narrative text.","","","","","","","","","",,,,,"",,,,"shr-core-ClinicalNote-model",0,*,"",""
"shr-core-ClinicalNote-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-ClinicalNote-model.metadata",0,1,"",""
"shr-core-ClinicalNote-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-ClinicalNote-model.language",0,1,"",""
"shr-core-ClinicalNote-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-ClinicalNote-model.implicitRules",0,1,"",""
"shr-core-ClinicalNote-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-ClinicalNote-model.narrative",0,1,"",""
"shr-core-ClinicalNote-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/document-reference-status","",,,,"shr-core-ClinicalNote-model.status",1,1,"",""
"shr-core-ClinicalNote-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-ClinicalNote-model.identifier",0,*,"",""
"shr-core-ClinicalNote-model.masterIdentifier","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Document identifier as assigned by the source of the document. This identifier is specific to this version of the document. This unique identifier may be used elsewhere to identify this version of the document.","Document identifier as assigned by the source of the document. This identifier is specific to this version of the document. This unique identifier may be used elsewhere to identify this version of the document.","","","","","","","","","",,,,,"",,,,"shr-core-ClinicalNote-model.masterIdentifier",0,1,"",""
"shr-core-ClinicalNote-model.documentStatus","","","",0,1,"","","","Coding {[]} {[]}
","The status of the underlying document.","The status of the underlying document.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/composition-status","",,,,"shr-core-ClinicalNote-model.documentStatus",0,1,"",""
"shr-core-ClinicalNote-model.type","","","",1,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/c80-doc-typecodes","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-ClinicalNote-model.type",1,1,"",""
"shr-core-ClinicalNote-model.category","","","",1,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,"required","","http://fhir.org/guides/argonaut-clinicalnotes/ValueSet/documentreference-category","",,,,"shr-core-ClinicalNote-model.category",1,1,"",""
