"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-QuestionnaireResponse-model","","","",0,*,"","","","","","A structured set of questions and their answers. The questions are ordered and grouped into coherent subsets, corresponding to the structure of the grouping of the questionnaire being responded to.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireResponse-model",0,*,"",""
"shr-core-QuestionnaireResponse-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireResponse-model.metadata",0,1,"",""
"shr-core-QuestionnaireResponse-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireResponse-model.language",0,1,"",""
"shr-core-QuestionnaireResponse-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireResponse-model.implicitRules",0,1,"",""
"shr-core-QuestionnaireResponse-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireResponse-model.narrative",0,1,"",""
"shr-core-QuestionnaireResponse-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/questionnaire-answers-status","",,,,"shr-core-QuestionnaireResponse-model.status",1,1,"",""
"shr-core-QuestionnaireResponse-model.identifier","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireResponse-model.identifier",0,1,"",""
"shr-core-QuestionnaireResponse-model.questionnaireResponseBasedOn[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ServiceRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ProcedureRequest-model]]}
","QuestionnaireResponseBasedOn","QuestionnaireResponseBasedOn","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-QuestionnaireResponse-model.questionnaireResponseBasedOn[x]",0,*,"",""
"shr-core-QuestionnaireResponse-model.questionnaireResponseBasedOnShr-core-ServiceRequest-model","ServiceRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ServiceRequest-model]]}
","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","A record of a request for service such as diagnostic investigations, treatments, or operations to be performed.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireResponse-model.questionnaireResponseBasedOn[x]",0,*,"",""
"shr-core-QuestionnaireResponse-model.questionnaireResponseBasedOnShr-core-ReferralRequest-model","ReferralRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ReferralRequest-model]]}
","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireResponse-model.questionnaireResponseBasedOn[x]",0,*,"",""
"shr-core-QuestionnaireResponse-model.questionnaireResponseBasedOnShr-core-ProcedureRequest-model","ProcedureRequest","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ProcedureRequest-model]]}
","A request for a procedure to be performed. May be a proposal or an order.","A request for a procedure to be performed. May be a proposal or an order.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireResponse-model.questionnaireResponseBasedOn[x]",0,*,"",""
"shr-core-QuestionnaireResponse-model.questionnaireResponsePartOf[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","A procedure or observation that this questionnaire was performed as part of the execution of. For example, the surgery a checklist was executed as part of.","A procedure or observation that this questionnaire was performed as part of the execution of. For example, the surgery a checklist was executed as part of.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-QuestionnaireResponse-model.questionnaireResponsePartOf[x]",0,*,"",""
