"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Provenance-model","","","",0,*,"","","","","","Describes entities and processes involved in producing and delivering or otherwise influencing that resource. Provenance tracks information about the activity that created, revised, deleted, or signed a version of a resource, describing the entities and agents involved. This information can be used to form assessments about its quality, reliability, trustworthiness, or to provide pointers for where to go to further investigate the origins of the resource and the information in it.","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model",0,*,"",""
"shr-core-Provenance-model.refersTo","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","A reference to the related or target object.","A reference to the related or target object.","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model.refersTo",1,*,"",""
"shr-core-Provenance-model.occurrenceTimeOrPeriod[x]","","","",0,1,"","","","date {[]} {[]}
dateTime {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","The point or period of time when the event takes place. Times can be precise (dateTime) or approximate (date). If a time period is used, and the start date or dateTime is missing, the start of the period is not known. If the end date or dateTime is missing, it means that the period is ongoing.","The point or period of time when the event takes place. Times can be precise (dateTime) or approximate (date). If a time period is used, and the start date or dateTime is missing, the start of the period is not known. If the end date or dateTime is missing, it means that the period is ongoing.","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model.occurrenceTimeOrPeriod[x]",0,1,"",""
"shr-core-Provenance-model.statementDateTime","","","",1,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-Provenance-model.statementDateTime",1,1,"",""
"shr-core-Provenance-model.implicitRules","","","",0,*,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model.implicitRules",0,*,"",""
"shr-core-Provenance-model.location","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model]]}
","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model.location",0,1,"",""
"shr-core-Provenance-model.reasonCode","","","",0,*,"","","","Coding {[]} {[]}
","The explanation or justification for the current item or action, as a code.","The explanation or justification for the current item or action, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-Provenance-model.reasonCode",0,*,"",""
"shr-core-Provenance-model.activityCode","","","",0,1,"","","","Coding {[]} {[]}
","Code representing the action taken.","Code representing the action taken.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/provenance-activity-type","",,,,"shr-core-Provenance-model.activityCode",0,1,"",""
"shr-core-Provenance-model.provenanceParticipation","","","",1,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ProvenanceParticipation-model {[]} {[]}
","An actor taking a role in an activity for which it can be assigned some degree of responsibility for the activity taking place.","An actor taking a role in an activity for which it can be assigned some degree of responsibility for the activity taking place.","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model.provenanceParticipation",1,*,"",""
"shr-core-Provenance-model.used","","","",0,*,"","","","BackboneElement {[]} {[]}
","Record of something (information or material) used or consumed in an activity or event.","Record of something (information or material) used or consumed in an activity or event.","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model.used",0,*,"",""
"shr-core-Provenance-model.used.usedReference","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-DomainResource-model]]}
","Item used during procedure, as a reference to the item.","Item used during procedure, as a reference to the item.","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model.used.usedReference",0,1,"",""
"shr-core-Provenance-model.used.usedCode","","","",0,0,"","","","Coding {[]} {[]}
","Item used during an activity, represented as a code.","Item used during an activity, represented as a code.","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model.used.usedCode",0,0,"",""
"shr-core-Provenance-model.used.usedType","","","",0,1,"","","","Coding {[]} {[]}
","The type of use, i.e., how the item was used in the activity.","The type of use, i.e., how the item was used in the activity.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/provenance-entity-role","",,,,"shr-core-Provenance-model.used.usedType",0,1,"",""
"shr-core-Provenance-model.used.usedParticipation","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ProvenanceParticipation-model {[]} {[]}
","The participation (participant and role, etc.) who used the item in the activity.","The participation (participant and role, etc.) who used the item in the activity.","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model.used.usedParticipation",0,1,"",""
"shr-core-Provenance-model.signature","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Signature-model {[]} {[]}
","A Signature holds an electronic representation of a signature and its supporting context in a FHIR accessible form. The signature may either be a cryptographic type (XML DigSig or a JWS), which is able to provide non-repudiation proof, or it may be a graphical image that represents a signature or a signature process.","A Signature holds an electronic representation of a signature and its supporting context in a FHIR accessible form. The signature may either be a cryptographic type (XML DigSig or a JWS), which is able to provide non-repudiation proof, or it may be a graphical image that represents a signature or a signature process.","","","","","","","","","",,,,,"",,,,"shr-core-Provenance-model.signature",0,*,"",""
