"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Repeat-model","","","",0,*,"","","","","","A set of rules that describe when a recurring event is scheduled.","","","","","","","","","",,,,,"",,,,"shr-core-Repeat-model",0,*,"",""
"shr-core-Repeat-model.repeatBounds[x]","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Duration-model {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Range-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","Either a duration for the length of the timing schedule, a range of possible length, or outer bounds for start and/or end limits of the timing schedule.","Either a duration for the length of the timing schedule, a range of possible length, or outer bounds for start and/or end limits of the timing schedule.","","","","","","","","","",,,,,"",,,,"shr-core-Repeat-model.repeatBounds[x]",0,1,"",""
"shr-core-Repeat-model.repeatCount","","","",0,1,"","","","positiveInt {[]} {[]}
","A total count of the desired number of repetitions across the duration of the entire timing specification. If countMax is present, this element indicates the lower bound of the allowed range of count values.","A total count of the desired number of repetitions across the duration of the entire timing specification. If countMax is present, this element indicates the lower bound of the allowed range of count values.","","","","","","","","","",,,,,"",,,,"shr-core-Repeat-model.repeatCount",0,1,"",""
"shr-core-Repeat-model.repeatCountMax","","","",0,1,"","","","positiveInt {[]} {[]}
","If present, indicates that the count is a range - so to perform the action between [count] and [countMax] times.","If present, indicates that the count is a range - so to perform the action between [count] and [countMax] times.","","","","","","","","","",,,,,"",,,,"shr-core-Repeat-model.repeatCountMax",0,1,"",""
"shr-core-Repeat-model.repeatDurationMax","","","",0,1,"","","","decimal {[]} {[]}
","If present, indicates that the duration is a range - so to perform the action between [duration] and [durationMax] time length.","If present, indicates that the duration is a range - so to perform the action between [duration] and [durationMax] time length.","","","","","","","","","",,,,,"",,,,"shr-core-Repeat-model.repeatDurationMax",0,1,"",""
"shr-core-Repeat-model.repeatDuration","","","",0,1,"","","","decimal {[]} {[]}
","How long this thing happens for when it happens. If durationMax is present, this element indicates the lower bound of the allowed range of the duration.","How long this thing happens for when it happens. If durationMax is present, this element indicates the lower bound of the allowed range of the duration.","","","","","","","","","",,,,,"",,,,"shr-core-Repeat-model.repeatDuration",0,1,"",""
"shr-core-Repeat-model.repeatDurationUnit","","","",0,1,"","","","code {[]} {[]}
","The units of time for the duration, in UCUM units.","The units of time for the duration, in UCUM units.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/units-of-time","",,,,"shr-core-Repeat-model.repeatDurationUnit",0,1,"",""
"shr-core-Repeat-model.repeatFrequency","","","",0,1,"","","","positiveInt {[]} {[]}
","The number of times to repeat the action within the specified period. If frequencyMax is present, this element indicates the lower bound of the allowed range of the frequency.","The number of times to repeat the action within the specified period. If frequencyMax is present, this element indicates the lower bound of the allowed range of the frequency.","","","","","","","","","",,,,,"",,,,"shr-core-Repeat-model.repeatFrequency",0,1,"",""
"shr-core-Repeat-model.repeatFrequencyMax","","","",0,1,"","","","positiveInt {[]} {[]}
","If present, indicates that the frequency is a range - so to repeat between [frequency] and [frequencyMax] times within the period or period range.","If present, indicates that the frequency is a range - so to repeat between [frequency] and [frequencyMax] times within the period or period range.","","","","","","","","","",,,,,"",,,,"shr-core-Repeat-model.repeatFrequencyMax",0,1,"",""
"shr-core-Repeat-model.repeatPeriodMax","","","",0,1,"","","","decimal {[]} {[]}
","If present, indicates that the period is a range from [period] to [periodMax], allowing expressing concepts such as 'do this once every 3-5 days.'","If present, indicates that the period is a range from [period] to [periodMax], allowing expressing concepts such as 'do this once every 3-5 days.'","","","","","","","","","",,,,,"",,,,"shr-core-Repeat-model.repeatPeriodMax",0,1,"",""
"shr-core-Repeat-model.repeatPeriod","","","",0,1,"","","","decimal {[]} {[]}
","Indicates the duration of time over which repetitions are to occur; e.g. to express '3 times per day', 3 would be the frequency and '1 day' would be the period. If periodMax is present, this element indicates the lower bound of the allowed range of the period length.","Indicates the duration of time over which repetitions are to occur; e.g. to express '3 times per day', 3 would be the frequency and '1 day' would be the period. If periodMax is present, this element indicates the lower bound of the allowed range of the period length.","","","","","","","","","",,,,,"",,,,"shr-core-Repeat-model.repeatPeriod",0,1,"",""
