"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-DocumentReferenced-model","","","",0,*,"","","","","","The document referenced.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReferenced-model",0,*,"",""
"shr-core-DocumentReferenced-model.attachment","","","",1,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Attachment-model {[]} {[]}
","A file that contains audio, video, image, or similar content.","A file that contains audio, video, image, or similar content.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReferenced-model.attachment",1,1,"",""
"shr-core-DocumentReferenced-model.attachment.binaryData","","","",0,1,"","","","base64Binary {[]} {[]}
","The data itself.","The data itself.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReferenced-model.attachment.binaryData",0,1,"",""
"shr-core-DocumentReferenced-model.attachment.contentType","","","",1,1,"","","","Coding {[]} {[]}
","The mime type of the content, with charset etc.","The mime type of the content, with charset etc.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReferenced-model.attachment.contentType",1,1,"",""
"shr-core-DocumentReferenced-model.attachment.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReferenced-model.attachment.language",0,1,"",""
"shr-core-DocumentReferenced-model.attachment.resourceLocation","","","",1,1,"","","","uri {[]} {[]}
","URL where data can be found.","URL where data can be found.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReferenced-model.attachment.resourceLocation",1,1,"",""
"shr-core-DocumentReferenced-model.attachment.resourceSize","","","",0,1,"","","","unsignedInt {[]} {[]}
","Number of bytes of content in the resource (if url provided)","Number of bytes of content in the resource (if url provided)","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReferenced-model.attachment.resourceSize",0,1,"",""
"shr-core-DocumentReferenced-model.attachment.hash","","","",0,1,"","","","base64Binary {[]} {[]}
","A hash code of the data (sha-1, base64ed)","A hash code of the data (sha-1, base64ed)","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReferenced-model.attachment.hash",0,1,"",""
"shr-core-DocumentReferenced-model.attachment.title","","","",0,1,"","","","string {[]} {[]}
","A distinguishing word or group of words naming an item.","A distinguishing word or group of words naming an item.","","","","","","","","","",,,,,"",,,,"shr-core-DocumentReferenced-model.attachment.title",0,1,"",""
"shr-core-DocumentReferenced-model.attachment.creationDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the item was created.","The point in time when the item was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-DocumentReferenced-model.attachment.creationDateTime",0,1,"",""
"shr-core-DocumentReferenced-model.type","","","",0,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/formatcodes","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-DocumentReferenced-model.type",0,1,"",""
