"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-QuestionnaireItem-model","","","",0,*,"","","","","","Questions and sections within the Questionnaire.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireItem-model",0,*,"",""
"shr-core-QuestionnaireItem-model.identifierString","","","",1,1,"","","","string {[]} {[]}
","An id for the item expressed as a string.","An id for the item expressed as a string.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireItem-model.identifierString",1,1,"",""
"shr-core-QuestionnaireItem-model.detailsUri","","","",0,1,"","","","uri {[]} {[]}
","A URI that refers to an ElementDefinition that provides information about this item, including information that might otherwise be included in the instance of the Questionnaire resource.","A URI that refers to an ElementDefinition that provides information about this item, including information that might otherwise be included in the instance of the Questionnaire resource.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireItem-model.detailsUri",0,1,"",""
"shr-core-QuestionnaireItem-model.code","","","",0,*,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/questionnaire-questions","",,,,"shr-core-QuestionnaireItem-model.code",0,*,"",""
"shr-core-QuestionnaireItem-model.prefix","","","",0,1,"","","","string {[]} {[]}
","A string that should precede the item; for example, an honorific before a person's name, or a question number before a question.","A string that should precede the item; for example, an honorific before a person's name, or a question number before a question.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireItem-model.prefix",0,1,"",""
"shr-core-QuestionnaireItem-model.questionnaireItem","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-QuestionnaireItem-model {[]} {[]}
","Questions and sections within the Questionnaire.","Questions and sections within the Questionnaire.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireItem-model.questionnaireItem",0,*,"",""
"shr-core-QuestionnaireItem-model.question","","","",0,1,"","","","string {[]} {[]}
","The text of the question.","The text of the question.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireItem-model.question",0,1,"",""
"shr-core-QuestionnaireItem-model.type","","","",1,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/item-type","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-QuestionnaireItem-model.type",1,1,"",""
"shr-core-QuestionnaireItem-model.enableWhen","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EnableWhen-model {[]} {[]}
","A constraint indicating that this item should only be enabled (displayed/allow answers to be captured) when the specified condition is true.","A constraint indicating that this item should only be enabled (displayed/allow answers to be captured) when the specified condition is true.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireItem-model.enableWhen",0,*,"",""
"shr-core-QuestionnaireItem-model.enableBehavior","","","",0,1,"","","","code {[]} {[]}
","Controls how multiple enableWhen values are interpreted - whether all or any must be true.","Controls how multiple enableWhen values are interpreted - whether all or any must be true.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/questionnaire-enable-behavior","",,,,"shr-core-QuestionnaireItem-model.enableBehavior",0,1,"",""
"shr-core-QuestionnaireItem-model.isRequired","","","",0,1,"","","","boolean {[]} {[]}
","An indication, if true, that the item may occur multiple times in the response, collecting multiple answers answers for questions or multiple sets of answers for groups.","An indication, if true, that the item may occur multiple times in the response, collecting multiple answers answers for questions or multiple sets of answers for groups.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireItem-model.isRequired",0,1,"",""
"shr-core-QuestionnaireItem-model.mayRepeat","","","",0,1,"","","","boolean {[]} {[]}
","An indication, if true, that the item may occur multiple times in the response, collecting multiple answers answers for questions or multiple sets of answers for groups.","An indication, if true, that the item may occur multiple times in the response, collecting multiple answers answers for questions or multiple sets of answers for groups.","","","","","","","","","",,,,,"",,,,"shr-core-QuestionnaireItem-model.mayRepeat",0,1,"",""
