"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-AdverseEvent-model","","","",0,*,"","","","","","A record of an untoward or unexpected event in a patient under treatment, and which does not necessarily have to have a causal relationship with that treatment. Adverse events may capture either a workflow breach that may or may not result in harm, but must be documented for quality improvement purposes, or an adverse finding whether or not it can be traceable to an actual workflow breach.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model",0,*,"",""
"shr-core-AdverseEvent-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.metadata",0,1,"",""
"shr-core-AdverseEvent-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.language",0,1,"",""
"shr-core-AdverseEvent-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.implicitRules",0,1,"",""
"shr-core-AdverseEvent-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.narrative",0,1,"",""
"shr-core-AdverseEvent-model.status","","","",0,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.status",0,1,"",""
"shr-core-AdverseEvent-model.identifier","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.identifier",0,1,"",""
"shr-core-AdverseEvent-model.subjectOfRecord","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model]]}
","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.

Note that the word 'Subject' is used here in the sense of a person or entity subjected to observations or actions, not subject as in a conceptual topic, like heart disease.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"shr-core-AdverseEvent-model.subjectOfRecord",1,1,"",""
"shr-core-AdverseEvent-model.careContext","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.careContext",0,1,"",""
"shr-core-AdverseEvent-model.statementDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-AdverseEvent-model.statementDateTime",0,1,"",""
"shr-core-AdverseEvent-model.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/us/shrcore/shr/core/vs/MedDRAVS","",,,,"shr-core-AdverseEvent-model.code",1,1,"",""
"shr-core-AdverseEvent-model.mode","","","",1,1,"","","","Coding {[]} {[]}
","Mode indicates whether a resource instance represents a specific item or a class of items, an actual or potential event, an instance or definition, etc.","Mode indicates whether a resource instance represents a specific item or a class of items, an actual or potential event, an instance or definition, etc.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/adverse-event-actuality","",,,,"shr-core-AdverseEvent-model.mode",1,1,"",""
"shr-core-AdverseEvent-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/adverse-event-category","",,,,"shr-core-AdverseEvent-model.category",0,1,"",""
"shr-core-AdverseEvent-model.occurrenceTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time in which something happens.","The point in time in which something happens.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.occurrenceTime",0,1,"",""
"shr-core-AdverseEvent-model.detectionTime","","","",0,1,"","","","dateTime {[]} {[]}
","The date on which the existence of the AdverseEvent first become known or was first observed.","The date on which the existence of the AdverseEvent first become known or was first observed.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.detectionTime",0,1,"",""
"shr-core-AdverseEvent-model.resultingCondition","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model]]}
","The condition, sign or symptom triggering the adverse event report.","The condition, sign or symptom triggering the adverse event report.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.resultingCondition",0,*,"",""
"shr-core-AdverseEvent-model.location","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model]]}
","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.location",0,1,"",""
"shr-core-AdverseEvent-model.seriousness","","","",1,1,"","","","Coding {[]} {[]}
","A coded value specifying the level of injury suffered by the subject for whom the event is reported, perferrably using the CTCAE coding system.","A coded value specifying the level of injury suffered by the subject for whom the event is reported, perferrably using the CTCAE coding system.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/adverse-event-seriousness","",,,,"shr-core-AdverseEvent-model.seriousness",1,1,"",""
"shr-core-AdverseEvent-model.severity","","","",0,1,"","","","Coding {[]} {[]}
","Degree of harshness or extent of a symptom, disorder, or condition.","Degree of harshness or extent of a symptom, disorder, or condition.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/adverse-event-severity","",,,,"shr-core-AdverseEvent-model.severity",0,1,"",""
"shr-core-AdverseEvent-model.outcome","","","",0,1,"","","","Coding {[]} {[]}
","The result of an event or performance of an action or behavior, for example, an adverse reaction or procedure.","The result of an event or performance of an action or behavior, for example, an adverse reaction or procedure.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/adverse-event-outcome","",,,,"shr-core-AdverseEvent-model.outcome",0,1,"",""
"shr-core-AdverseEvent-model.humanAuthor[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model]]}
","A human author, patient, practitioner, or related person, as opposed to an organization or device.","A human author, patient, practitioner, or related person, as opposed to an organization or device.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.humanAuthor[x]",0,1,"",""
"shr-core-AdverseEvent-model.participant[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Group-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Location-model]]}
","An entity (usually a Practitioner, Patient, or Organization but potentially a device or other entity) that participates in a healthcare task or activity.","An entity (usually a Practitioner, Patient, or Organization but potentially a device or other entity) that participates in a healthcare task or activity.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1550369
",,,,"shr-core-AdverseEvent-model.participant[x]",0,1,"",""
"shr-core-AdverseEvent-model.potentialCause","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-PotentialCause-model {[]} {[]}
","A possible cause of an observed adverse event, known or theorized. There can be more than one possible cause.","A possible cause of an observed adverse event, known or theorized. There can be more than one possible cause.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.potentialCause",0,*,"",""
"shr-core-AdverseEvent-model.associatedStudy","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ResearchStudy-model]]}
","The related clinical trial or other formal study.","The related clinical trial or other formal study.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.associatedStudy",0,1,"",""
"shr-core-AdverseEvent-model.actionTaken","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ActionTaken-model {[]} {[]}
","The action taken as a result of the adverse reaction. May include changing or discontinuing medication, reducing dose, etc.","The action taken as a result of the adverse reaction. May include changing or discontinuing medication, reducing dose, etc.","","","","","","","","","",,,,,"",,,,"shr-core-AdverseEvent-model.actionTaken",0,*,"",""
