"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Patient-model","","","",0,*,"","","","","","A person in the role of a patient. Sometimes, the patient is not the subject of information in a clinical statement where the Patient is the SubjectOfRecord.

SHR follows Argonaut and makes the value set binding on marital status required. MaritalStatus has a required binding in Argonaut, but an extensible binding in US-Core. To be feasible under both DSTU2 Argonaut and STU3 US-Core, the required binding strength is adopted.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model",0,*,"",""
"shr-core-Patient-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.metadata",0,1,"",""
"shr-core-Patient-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.language",0,1,"",""
"shr-core-Patient-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.implicitRules",0,1,"",""
"shr-core-Patient-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.narrative",0,1,"",""
"shr-core-Patient-model.status","","","",0,0,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.status",0,0,"",""
"shr-core-Patient-model.identifier","","","",1,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.identifier",1,*,"",""
"shr-core-Patient-model.active","","","",0,1,"","","","boolean {[]} {[]}
","Whether the record is in use (true) or retired (false).","Whether the record is in use (true) or retired (false).","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.active",0,1,"",""
"shr-core-Patient-model.humanName","","","",1,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-HumanName-model {[]} {[]}
","A name used by a human being, written as it would be typically expressed. May include a breakdown of the various elements of the name (family name, given name, etc.).","A name used by a human being, written as it would be typically expressed. May include a breakdown of the various elements of the name (family name, given name, etc.).","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.humanName",1,*,"",""
"shr-core-Patient-model.contactPoint","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ContactPoint-model {[]} {[]}
","An electronic means of contacting an organization or individual.","An electronic means of contacting an organization or individual.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.contactPoint",0,*,"",""
"shr-core-Patient-model.administrativeGender","","","",1,1,"","","","Coding {[]} {[]}
","A gender classification used for administrative purposes. Administrative gender is not necessarily the same as a biological description or a gender identity. This attribute does not include terms related to clinical gender.","A gender classification used for administrative purposes. Administrative gender is not necessarily the same as a biological description or a gender identity. This attribute does not include terms related to clinical gender.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/administrative-gender","http://ncimeta.nci.nih.gov#C1550327
",,,,"shr-core-Patient-model.administrativeGender",1,1,"",""
"shr-core-Patient-model.birthDate[x]","","","",0,1,"","","","date {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","A date of birth or approximate year or period (year or date range), if estimated.","A date of birth or approximate year or period (year or date range), if estimated.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2919018
http://loinc.org#21112-8",,,,"shr-core-Patient-model.birthDate[x]",0,1,"",""
"shr-core-Patient-model.deceased[x]","","","",0,1,"","","","boolean {[]} {[]}
dateTime {[]} {[]}","An indication that the person is no longer living, given by a date of death, or boolean value. The latter, when true, indicates the person is deceased.","An indication that the person is no longer living, given by a date of death, or boolean value. The latter, when true, indicates the person is deceased.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.deceased[x]",0,1,"",""
"shr-core-Patient-model.address","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Address-model {[]} {[]}
","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.address",0,*,"",""
"shr-core-Patient-model.maritalStatus","","","",0,1,"","","","Coding {[]} {[]}
","The most recent marital status of a person.","The most recent marital status of a person.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/marital-status","http://ncimeta.nci.nih.gov#C0024819
",,,,"shr-core-Patient-model.maritalStatus",0,1,"",""
"shr-core-Patient-model.multipleBirth[x]","","","",0,1,"","","","boolean {[]} {[]}
integer {[]} {[]}","If the person was part of a multiple birth event, and if so in which order.","If the person was part of a multiple birth event, and if so in which order.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.multipleBirth[x]",0,1,"",""
"shr-core-Patient-model.photographicImage","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-PhotographicImage-model {[]} {[]}
","An attachment of a photographic type. The mime type should be either bmp, gif, jpeg, png, svg, or tiff.","An attachment of a photographic type. The mime type should be either bmp, gif, jpeg, png, svg, or tiff.","","","","","","","","","",,,,,"http://loinc.org#72170-4 (Photographic image	[Attachment])
",,,,"shr-core-Patient-model.photographicImage",0,*,"",""
"shr-core-Patient-model.contactPerson","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ContactPerson-model {[]} {[]}
","A contact party (e.g. guardian, partner, friend) for the person","A contact party (e.g. guardian, partner, friend) for the person","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.contactPerson",0,*,"",""
"shr-core-Patient-model.communication","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Communication-model {[]} {[]}
","Language used for communication by a human, either the subject of record, parent, or other involved person.","Language used for communication by a human, either the subject of record, parent, or other involved person.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.communication",0,*,"",""
"shr-core-Patient-model.generalPractitioner[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model]]}
","Patient's nominated primary care provider.","Patient's nominated primary care provider.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.generalPractitioner[x]",0,*,"",""
"shr-core-Patient-model.managingOrganization","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model]]}
","The organization that manages a patient, activity, facility, document, or service provision.","The organization that manages a patient, activity, facility, document, or service provision.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.managingOrganization",0,1,"",""
"shr-core-Patient-model.samePersonAs","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-SamePersonAs-model {[]} {[]}
","Link to another patient resource that concerns the same actual patient.","Link to another patient resource that concerns the same actual patient.","","","","","","","","","",,,,,"",,,,"shr-core-Patient-model.samePersonAs",0,*,"",""
"shr-core-Patient-model.birthSex","","","",0,1,"","","","Coding {[]} {[]}
","Administrative sex assigned at birth and recorded on birth certificate.","Administrative sex assigned at birth and recorded on birth certificate.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/core/ValueSet/us-core-birthsex","http://ncimeta.nci.nih.gov#C4086849
",,,,"shr-core-Patient-model.birthSex",0,1,"",""
"shr-core-Patient-model.race","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Race-model {[]} {[]}
","Subjective association of a person with a named category of humans sharing common history, traits, place of family origin, nationality, tribe, or other inherited background.","Subjective association of a person with a named category of humans sharing common history, traits, place of family origin, nationality, tribe, or other inherited background.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0034510
",,,,"shr-core-Patient-model.race",0,1,"",""
"shr-core-Patient-model.ethnicity","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Ethnicity-model {[]} {[]}
","Indicator of Hispanic or Latino origin.","Indicator of Hispanic or Latino origin.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0015031
",,,,"shr-core-Patient-model.ethnicity",0,1,"",""
