"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","ReferenceRange","The usual or acceptable range for a test result.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"",""
"Extension.id","","","",0,1,"","","","id {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"",""
"Extension.extension","lowerbound","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-datatype-LowerBound-extension]]} {[]}
","","The lower limit on a range","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension","upperbound","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-datatype-UpperBound-extension]]} {[]}
","","The upper limit on a quantitative value.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension","type","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-datatype-Type-extension]]} {[]}
","","A code describing the item at a greater level of detail.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.id","","","",0,1,"","","","id {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references).","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension.extension","","extensions
user content","",0,0,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-datatype-Type-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.extension.valueCodeableConcept","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/referencerange-meaning","",,,,"Extension.value[x]",0,1,"",""
"Extension.extension","applicablesubpopulation","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-ApplicableSubpopulation-extension]]} {[]}
","","Codes to indicate the target population this reference range applies to. For example, a reference range may be based on the normal population or a particular sex or race.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension","applicableagerange","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-ApplicableAgeRange-extension]]} {[]}
","","The age at which this reference range is applicable. This is a neonatal age (e.g. number of weeks at term) if the meaning says so.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension","text","","",0,1,"","","","Extension {[CanonicalType[http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-datatype-Text-extension]]} {[]}
","","A simple string.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition should be version specific.  This will ideally be the URI for the Resource Profile defining the extension, with the code for the extension after a #.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://mcodeinitiative.org/us/mcode/StructureDefinition/obf-ReferenceRange-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.value[x]","","","",0,0,"","","","boolean {[]} {[]}
integer {[]} {[]}decimal {[]} {[]}base64Binary {[]} {[]}instant {[]} {[]}string {[]} {[]}uri {[]} {[]}date {[]} {[]}dateTime {[]} {[]}time {[]} {[]}code {[]} {[]}oid {[]} {[]}id {[]} {[]}unsignedInt {[]} {[]}positiveInt {[]} {[]}markdown {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}Identifier {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Period {[]} {[]}Ratio {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}HumanName {[]} {[]}Address {[]} {[]}ContactPoint {[]} {[]}Timing {[]} {[]}Reference {[]} {[]}Meta {[]} {[]}","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"",""
