"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"odh-OccupationalDataForHealth-model","","","",0,*,"","","","","","Information about a person's work and volunteer positions to support patient care, population health and public health activities.. The profile is based on FHIR Composition that contains a single section, OccupationalDataSection.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model",0,*,"",""
"odh-OccupationalDataForHealth-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.metadata",0,1,"",""
"odh-OccupationalDataForHealth-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.language",0,1,"",""
"odh-OccupationalDataForHealth-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.implicitRules",0,1,"",""
"odh-OccupationalDataForHealth-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.narrative",0,1,"",""
"odh-OccupationalDataForHealth-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/composition-status","",,,,"odh-OccupationalDataForHealth-model.status",1,1,"",""
"odh-OccupationalDataForHealth-model.identifier","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.identifier",0,1,"",""
"odh-OccupationalDataForHealth-model.type","","","",1,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0332307
",,,,"odh-OccupationalDataForHealth-model.type",1,1,"",""
"odh-OccupationalDataForHealth-model.type.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"odh-OccupationalDataForHealth-model.type.extension","","","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"",""
"odh-OccupationalDataForHealth-model.type.system","","","",1,1,"","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://loinc.org""/>","","","","",,,,,"",,,,"Coding.system",0,1,"",""
"odh-OccupationalDataForHealth-model.type.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"",""
"odh-OccupationalDataForHealth-model.type.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""74166-0""/>","","","","",,,,,"",,,,"Coding.code",0,1,"",""
"odh-OccupationalDataForHealth-model.type.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"",""
"odh-OccupationalDataForHealth-model.type.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"odh-OccupationalDataForHealth-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.category",0,1,"",""
"odh-OccupationalDataForHealth-model.focalSubject","","","",1,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DomainResource-model {[]} {[]}
","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.focalSubject",1,1,"",""
"odh-OccupationalDataForHealth-model.careContext","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Encounter-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.careContext",0,1,"",""
"odh-OccupationalDataForHealth-model.statementDateTime","","","",1,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"odh-OccupationalDataForHealth-model.statementDateTime",1,1,"",""
"odh-OccupationalDataForHealth-model.author[x]","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Device-model]]}
","The actor who created the item and it responsible for the content (regardless of the information source or who recorded it). If only the author is given, it is assumed the author is the information source and the recorder.","The actor who created the item and it responsible for the content (regardless of the information source or who recorded it). If only the author is given, it is assumed the author is the information source and the recorder.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.author[x]",1,*,"",""
"odh-OccupationalDataForHealth-model.title","","","",1,1,"","","","string {[]} {[]}
","A distinguishing word or group of words naming an item.","A distinguishing word or group of words naming an item.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.title",1,1,"",""
"odh-OccupationalDataForHealth-model.confidentialityCode","","","",0,1,"","","","Coding {[]} {[]}
","The code specifying the level of confidentiality.","The code specifying the level of confidentiality.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.confidentialityCode",0,1,"",""
"odh-OccupationalDataForHealth-model.attestation","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Attestation-model {[]} {[]}
","A certification or assertion of the accuracy of the content.","A certification or assertion of the accuracy of the content.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.attestation",0,*,"",""
"odh-OccupationalDataForHealth-model.managingOrganization","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model]]}
","The organization that manages a patient, activity, facility, document, or service provision.","The organization that manages a patient, activity, facility, document, or service provision.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.managingOrganization",0,1,"",""
"odh-OccupationalDataForHealth-model.relatedDocument","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-RelatedDocument-model {[]} {[]}
","Documents related to this one.","Documents related to this one.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.relatedDocument",0,*,"",""
"odh-OccupationalDataForHealth-model.eventContext","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-EventContext-model {[]} {[]}
","Clinical context or event being documented, for example, a colonoscopy or an appendectomy.","Clinical context or event being documented, for example, a colonoscopy or an appendectomy.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.eventContext",0,*,"",""
"odh-OccupationalDataForHealth-model.eventContext.careContext[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Encounter-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.eventContext.careContext[x]",0,1,"",""
"odh-OccupationalDataForHealth-model.eventContext.code","","","",0,*,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/v3-ActCode","",,,,"odh-OccupationalDataForHealth-model.eventContext.code",0,*,"",""
"odh-OccupationalDataForHealth-model.eventContext.timePeriod","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","A period of time defined by a start and end time, date, or year.","A period of time defined by a start and end time, date, or year.
If the start date/time is missing, the start of the period is not known. If the end date/time is missing, it means that the period is ongoing.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataForHealth-model.eventContext.timePeriod",0,1,"",""
"odh-OccupationalDataForHealth-model.eventContext.facilityType","","","",0,0,"","","","Coding {[]} {[]}
","Kind of facility where patient was seen","Kind of facility where patient was seen","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/c80-facilitycodes","",,,,"odh-OccupationalDataForHealth-model.eventContext.facilityType",0,0,"",""
"odh-OccupationalDataForHealth-model.eventContext.setting","","","",0,0,"","","","Coding {[]} {[]}
","Description of the place or type of surroundings where something is positioned or where an event takes place.","Description of the place or type of surroundings where something is positioned or where an event takes place.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/odh/ValueSet/shr-core-SettingVS","",,,,"odh-OccupationalDataForHealth-model.eventContext.setting",0,0,"",""
