"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ProcedureRequest-model","","","",0,*,"","","","","","A request for a procedure to be performed. May be a proposal or an order.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model",0,*,"",""
"shr-core-ProcedureRequest-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.metadata",0,1,"",""
"shr-core-ProcedureRequest-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0023008
",,,,"shr-core-ProcedureRequest-model.language",0,1,"",""
"shr-core-ProcedureRequest-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.implicitRules",0,1,"",""
"shr-core-ProcedureRequest-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.narrative",0,1,"",""
"shr-core-ProcedureRequest-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.status",1,1,"",""
"shr-core-ProcedureRequest-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.identifier",0,*,"",""
"shr-core-ProcedureRequest-model.referralSubjectOfRecord[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Group-model]]}
","A choice of Patient or Group. These are the potential subjects for Procedure and ReferralRequest resources.","A choice of Patient or Group. These are the potential subjects for Procedure and ReferralRequest resources.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.referralSubjectOfRecord[x]",1,1,"",""
"shr-core-ProcedureRequest-model.careContext[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-EpisodeOfCare-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.careContext[x]",0,1,"",""
"shr-core-ProcedureRequest-model.statementDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-ProcedureRequest-model.statementDateTime",0,1,"",""
"shr-core-ProcedureRequest-model.reasonCode","","","",0,1,"","","","Coding {[]} {[]}
","The justification, as a code.","The justification, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept, so we are not going to support a string.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-ProcedureRequest-model.reasonCode",0,1,"",""
"shr-core-ProcedureRequest-model.reasonReference[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Condition-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Observation-model]]}
","The justification, as reference to a condition or observation.","The justification, as reference to a condition or observation.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.reasonReference[x]",0,1,"",""
"shr-core-ProcedureRequest-model.type","","","",1,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/us/core/ValueSet/us-core-procedure-code","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-ProcedureRequest-model.type",1,1,"",""
"shr-core-ProcedureRequest-model.requestIntent","","","",1,1,"","","","Coding {[]} {[]}
","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","Indicates the level of authority/intentionality associated with the request and where the request fits into the workflow chain.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/request-intent","",,,,"shr-core-ProcedureRequest-model.requestIntent",1,1,"",""
"shr-core-ProcedureRequest-model.expectedPerformanceTime[x]","","","",0,1,"","","","dateTime {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Timing-model {[]} {[]}","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","When an action should be done. If the action is a series or recurs (e.g. daily blood sugar testing in the morning) then a Timing can be used to describe the periodicity.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.expectedPerformanceTime[x]",0,1,"",""
"shr-core-ProcedureRequest-model.expectedPerformerType","","","",0,1,"","","","Coding {[]} {[]}
","What type of party should carry out the testing.","What type of party should carry out the testing.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.expectedPerformerType",0,1,"",""
"shr-core-ProcedureRequest-model.recipient[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","Who this request is being addressed to.","Who this request is being addressed to.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.recipient[x]",0,1,"",""
"shr-core-ProcedureRequest-model.priorityCode[x]","","","",0,1,"","","","positiveInt {[]} {[]}
Coding {[]} {[]}","An indication of the importance of an action relative to other actions.","An indication of the importance of an action relative to other actions.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0549179
",,,,"shr-core-ProcedureRequest-model.priorityCode[x]",0,1,"",""
"shr-core-ProcedureRequest-model.annotation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Annotation-model {[]} {[]}
","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","An added or follow-up note, often after the fact, that contains metadata about who made the statement and when.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.annotation",0,*,"",""
"shr-core-ProcedureRequest-model.communicationMethod","","","",0,1,"","","","Coding {[]} {[]}
","This is the method the provider used to communicate. Examples include: Written, Telephoned, Verbal, Electronically Entered, Policy, Service Correction, Duplicate, etc. 'Code indicating the origin of the prescription.' - NCPDP Telecommunication (Field 419-DJ, Data Dictionary 201104). Possible values include: Written; Telephone; Electronic; Facsimile; Pharmacy; Not Known.","This is the method the provider used to communicate. Examples include: Written, Telephoned, Verbal, Electronically Entered, Policy, Service Correction, Duplicate, etc. 'Code indicating the origin of the prescription.' - NCPDP Telecommunication (Field 419-DJ, Data Dictionary 201104). Possible values include: Written; Telephone; Electronic; Facsimile; Pharmacy; Not Known.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.communicationMethod",0,1,"",""
"shr-core-ProcedureRequest-model.procedureRequester[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Device-model]]}
","The agent requesting the procedure. Allows Practitioner and Device, since these represent the intersection between DSTU 2 and STU 3. DSTU 2 allows Organization, and STU 3 allows Patient and RelatedPerson.","The agent requesting the procedure. Allows Practitioner and Device, since these represent the intersection between DSTU 2 and STU 3. DSTU 2 allows Organization, and STU 3 allows Patient and RelatedPerson.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.procedureRequester[x]",0,1,"",""
"shr-core-ProcedureRequest-model.bodyLocation","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-BodyLocation-model {[]} {[]}
","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart.","A location or structure in the body, including tissues, regions, cavities, and spaces; for example, right elbow, or left ventricle of the heart.
The BodyLocation includes code and optional qualifiers of anatomical side or direction. The body location can also be determined from one or more body landmarks.
If the code for the body location includes laterality and/or anatomical direction, the corresponding attributes might be unnecessary.
Note that BodyLocation is a data type, a reusable structure, not a stand-alone entity. The concept is similar to how an address structure can apply to a person, location, or organization. This contrasts with FHIR's stand-alone BodySite (aka BodyStructure in r4) which 'is not ... intended for describing the type of anatomical location but rather a specific body site on a specific patient' (FHIR 3.5).","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.bodyLocation",0,*,"",""
"shr-core-ProcedureRequest-model.partOf","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Procedure-model]]}
","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","The larger entity that the asserted item is a portion of. For example, an organization part of a larger organization, or an encounter with a hospitalist might be part of a larger hospitalization encounter.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.partOf",0,1,"",""
"shr-core-ProcedureRequest-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The type, kind, or class of this item.","The type, kind, or class of this item.","","","","","","","","","",,,,,"",,,,"shr-core-ProcedureRequest-model.category",0,1,"",""
