"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Practitioner-model","","","",0,*,"","","","","","A person who practices a healing art.
HumanName is limited to one required value by US-Core. Gender is required by US-Core. US-Core required an identifier, either a NPI (preferred) or tax id.","","","","","","","","","",,,,,"",,,,"shr-core-Practitioner-model",0,*,"",""
"shr-core-Practitioner-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Practitioner-model.metadata",0,1,"",""
"shr-core-Practitioner-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0023008
",,,,"shr-core-Practitioner-model.language",0,1,"",""
"shr-core-Practitioner-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Practitioner-model.implicitRules",0,1,"",""
"shr-core-Practitioner-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Practitioner-model.narrative",0,1,"",""
"shr-core-Practitioner-model.status","","","",0,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/odh/shr/core/vs/ActiveOrInactiveVS","",,,,"shr-core-Practitioner-model.status",0,1,"",""
"shr-core-Practitioner-model.identifier","","","",1,1,"","","","","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Practitioner-model.identifier",1,1,"",""
"shr-core-Practitioner-model.identifier.nationalProviderIdentifier","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-NationalProviderIdentifier-model {[]} {[]}
","NPI: a unique 10 digit number to allow US healthcare providers to identify themselves in a standard way throughout the healthcare industry.","NPI: a unique 10 digit number to allow US healthcare providers to identify themselves in a standard way throughout the healthcare industry.","","","","","","","","","",,,,,"",,,,"shr-core-Practitioner-model.identifier.nationalProviderIdentifier",0,1,"",""
"shr-core-Practitioner-model.identifier.taxIdentificationNumber","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TaxIdentificationNumber-model {[]} {[]}
","Tax identification number for the practitioner.","Tax identification number for the practitioner.","","","","","","","","","",,,,,"",,,,"shr-core-Practitioner-model.identifier.taxIdentificationNumber",0,1,"",""
"shr-core-Practitioner-model.person","","","",1,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Person-model {[]} {[]}
","A person relevant to the health or social situation of the subject (including the subject him- or herself).","A person relevant to the health or social situation of the subject (including the subject him- or herself).","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0027361
",,,,"shr-core-Practitioner-model.person",1,1,"",""
"shr-core-Practitioner-model.person.humanName","","","",1,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-HumanName-model {[]} {[]}
","A name used by a human being, written as it would be typically expressed. May include a breakdown of the various elements of the name (family name, given name, etc.).","A name used by a human being, written as it would be typically expressed. May include a breakdown of the various elements of the name (family name, given name, etc.).","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1547383
",,,,"shr-core-Practitioner-model.person.humanName",1,*,"",""
"shr-core-Practitioner-model.person.dateOfBirth[x]","","","",0,1,"","","","date {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","A date of birth or approximate year or period (year or date range), if estimated.","A date of birth or approximate year or period (year or date range), if estimated.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2919018
http://loinc.org#21112-8",,,,"shr-core-Practitioner-model.person.dateOfBirth[x]",0,1,"",""
"shr-core-Practitioner-model.person.administrativeGender","","","",1,1,"","","","Coding {[]} {[]}
","A gender classification used for administrative purposes. Administrative gender is not necessarily the same as a biological description or a gender identity. This attribute does not include terms related to clinical gender.","A gender classification used for administrative purposes. Administrative gender is not necessarily the same as a biological description or a gender identity. This attribute does not include terms related to clinical gender.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/administrative-gender","http://ncimeta.nci.nih.gov#C1550327
",,,,"shr-core-Practitioner-model.person.administrativeGender",1,1,"",""
"shr-core-Practitioner-model.person.address","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Address-model {[]} {[]}
","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0682130
",,,,"shr-core-Practitioner-model.person.address",0,*,"",""
"shr-core-Practitioner-model.person.photographicImage","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-PhotographicImage-model {[]} {[]}
","An attachment of a photographic type. The mime type should be either bmp, gif, jpeg, png, svg, or tiff.","An attachment of a photographic type. The mime type should be either bmp, gif, jpeg, png, svg, or tiff.","","","","","","","","","",,,,,"http://loinc.org#72170-4 (Photographic image	[Attachment])
",,,,"shr-core-Practitioner-model.person.photographicImage",0,*,"",""
"shr-core-Practitioner-model.person.contactPoint","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-ContactPoint-model {[]} {[]}
","An electronic means of contacting an organization or individual.","An electronic means of contacting an organization or individual.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2986441
",,,,"shr-core-Practitioner-model.person.contactPoint",0,*,"",""
"shr-core-Practitioner-model.person.communication","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Communication-model {[]} {[]}
","Language used for communication by a human, either the subject of record, parent, or other involved person.","Language used for communication by a human, either the subject of record, parent, or other involved person.","","","","","","","","","",,,,,"",,,,"shr-core-Practitioner-model.person.communication",0,*,"",""
"shr-core-Practitioner-model.person.maritalStatus","","","",0,1,"","","","Coding {[]} {[]}
","The most recent marital status of a person.","The most recent marital status of a person.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/marital-status","http://ncimeta.nci.nih.gov#C0024819
",,,,"shr-core-Practitioner-model.person.maritalStatus",0,1,"",""
"shr-core-Practitioner-model.person.multipleBirth[x]","","","",0,1,"","","","boolean {[]} {[]}
integer {[]} {[]}","If the person was part of a multiple birth event, and if so in which order.","If the person was part of a multiple birth event, and if so in which order.","","","","","","","","","",,,,,"",,,,"shr-core-Practitioner-model.person.multipleBirth[x]",0,1,"",""
"shr-core-Practitioner-model.person.birthSex","","","",0,1,"","","","Coding {[]} {[]}
","Administrative sex assigned at birth and recorded on birth certificate.","Administrative sex assigned at birth and recorded on birth certificate.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/core/ValueSet/us-core-birthsex","http://ncimeta.nci.nih.gov#C4086849
",,,,"shr-core-Practitioner-model.person.birthSex",0,1,"",""
"shr-core-Practitioner-model.person.race","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Race-model {[]} {[]}
","Subjective association of a person with a named category of humans sharing common history, traits, place of family origin, nationality, tribe, or other inherited background.","Subjective association of a person with a named category of humans sharing common history, traits, place of family origin, nationality, tribe, or other inherited background.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0034510
",,,,"shr-core-Practitioner-model.person.race",0,1,"",""
"shr-core-Practitioner-model.person.ethnicity","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Ethnicity-model {[]} {[]}
","Indicator of Hispanic or Latino origin.","Indicator of Hispanic or Latino origin.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0015031
",,,,"shr-core-Practitioner-model.person.ethnicity",0,1,"",""
"shr-core-Practitioner-model.person.deceased[x]","","","",0,1,"","","","boolean {[]} {[]}
dateTime {[]} {[]}","An indication that the person is no longer living, given by a date of death, or boolean value. The latter, when true, indicates the person is deceased.","An indication that the person is no longer living, given by a date of death, or boolean value. The latter, when true, indicates the person is deceased.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0011065
",,,,"shr-core-Practitioner-model.person.deceased[x]",0,1,"",""
"shr-core-Practitioner-model.qualification","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Qualification-model {[]} {[]}
","A right to practice medicine obtained by training and certification.","A right to practice medicine obtained by training and certification.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0037778
",,,,"shr-core-Practitioner-model.qualification",0,*,"",""
