"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"odh-OccupationalDataSection-model","","","",0,*,"","","","","","Section in the OccupationalDataForHealth composition, containing the person's occupational data, past and present.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataSection-model",0,*,"",""
"odh-OccupationalDataSection-model.title","","","",0,1,"","","","string {[]} {[]}
","A distinguishing word or group of words naming an item.","A distinguishing word or group of words naming an item.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataSection-model.title",0,1,"",""
"odh-OccupationalDataSection-model.code","","","",0,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/doc-section-codes","",,,,"odh-OccupationalDataSection-model.code",0,1,"",""
"odh-OccupationalDataSection-model.author[x]","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Device-model]]}
","The actor who created the item and it responsible for the content (regardless of the information source or who recorded it). If only the author is given, it is assumed the author is the information source and the recorder.","The actor who created the item and it responsible for the content (regardless of the information source or who recorded it). If only the author is given, it is assumed the author is the information source and the recorder.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataSection-model.author[x]",0,*,"",""
"odh-OccupationalDataSection-model.focalSubject","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DomainResource-model {[]} {[]}
","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataSection-model.focalSubject",0,1,"",""
"odh-OccupationalDataSection-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataSection-model.narrative",0,1,"",""
"odh-OccupationalDataSection-model.type","","","",0,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/list-mode","http://ncimeta.nci.nih.gov#C0332307
",,,,"odh-OccupationalDataSection-model.type",0,1,"",""
"odh-OccupationalDataSection-model.sortOrder","","","",0,1,"","","","Coding {[]} {[]}
","Specifies the sorting criterion applied to the items in a list.","Specifies the sorting criterion applied to the items in a list.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/list-order","",,,,"odh-OccupationalDataSection-model.sortOrder",0,1,"",""
"odh-OccupationalDataSection-model.domainResource","","","",0,1,"","","","","Parent class for any item in clinical or administrative health-related system. A DomainResource can belong to a single person's health record, or represent an entity that surfaces in multiple records, such as organizations, providers, payments, decision support artifacts, etc.","Parent class for any item in clinical or administrative health-related system. A DomainResource can belong to a single person's health record, or represent an entity that surfaces in multiple records, such as organizations, providers, payments, decision support artifacts, etc.

Note to FHIR implementers: SHR includes Status and Identifier fields on DomainResource because these two attributes occur in almost every FHIR resource. The most significant exception are 3 or 4 resources that use an 'active' flag instead of coded status value. There is no apparent pattern to this inconsistency. FHIR resources that use a coded status have active and inactive as status values. In the spirit of providing a consistent object-oriented logical model for FHIR, SHR uses status across all domain resources.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataSection-model.domainResource",0,1,"",""
"odh-OccupationalDataSection-model.domainResource.employmentStatus","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/odh-EmploymentStatus-model {[]} {[]}
","The self-reported current and/or historical status about a person’s economic relationship to work (e.g. having one or more jobs), including start and end dates. A person’s Employment Status could change over time, for example, a person could be employed following a period of choosing to not be in the labor force. Outside of ODH, the employment arrangement between an employer and a person (one job) has sometimes been referred to as a person’s ‘employment status.’ However, in ODH, Employment Status is used to characterize a person, Work Classification is used to characterize a job, and Retirement Date is used to characterize a person as retired.","The self-reported current and/or historical status about a person’s economic relationship to work (e.g. having one or more jobs), including start and end dates. A person’s Employment Status could change over time, for example, a person could be employed following a period of choosing to not be in the labor force. Outside of ODH, the employment arrangement between an employer and a person (one job) has sometimes been referred to as a person’s ‘employment status.’ However, in ODH, Employment Status is used to characterize a person, Work Classification is used to characterize a job, and Retirement Date is used to characterize a person as retired.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataSection-model.domainResource.employmentStatus",0,*,"",""
"odh-OccupationalDataSection-model.domainResource.retirementDate","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/odh-RetirementDate-model {[]} {[]}
","A self-reported date that a person considers themselves to have ‘retired’. A person can be both retired and employed (an Employment Status); most often, a person would be retired from one job and employed in another job. A person also can have more than one retirement date; for example, a person could retire from military service, then later retire from a civilian job. Multiple retirement dates should be recorded using multiple instance of this profile. Outside of ODH, a characterization of the employment arrangement between an employer and a person (one job) has sometimes been referred to as a person’s ‘employment status’ and might include values such as ‘retired.’ However, in ODH, Employment Status is used to characterize a person’s relationship to working (e.g., employed, unemployed) and Retirement Date is used to characterize whether or not a person self-identifies as retired. For example, a person could be ‘employed’ (Employment Status) and have retired from a previous job (recorded at the Person level as a Retirement Date).","A self-reported date that a person considers themselves to have ‘retired’. A person can be both retired and employed (an Employment Status); most often, a person would be retired from one job and employed in another job. A person also can have more than one retirement date; for example, a person could retire from military service, then later retire from a civilian job. Multiple retirement dates should be recorded using multiple instance of this profile. Outside of ODH, a characterization of the employment arrangement between an employer and a person (one job) has sometimes been referred to as a person’s ‘employment status’ and might include values such as ‘retired.’ However, in ODH, Employment Status is used to characterize a person’s relationship to working (e.g., employed, unemployed) and Retirement Date is used to characterize whether or not a person self-identifies as retired. For example, a person could be ‘employed’ (Employment Status) and have retired from a previous job (recorded at the Person level as a Retirement Date).","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataSection-model.domainResource.retirementDate",0,*,"",""
"odh-OccupationalDataSection-model.domainResource.combatZonePeriod","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/odh-CombatZonePeriod-model {[]} {[]}
","Self-reported date range(s) when a person worked in what is considered a combat zone; sometimes called a hazardous duty work. Both civilian workers, such as Department of Defense contractors, and military service members could have worked in combat zones. Multiple periods in combat zone should be recorded using multiple instances of this profile.","Self-reported date range(s) when a person worked in what is considered a combat zone; sometimes called a hazardous duty work. Both civilian workers, such as Department of Defense contractors, and military service members could have worked in combat zones. Multiple periods in combat zone should be recorded using multiple instances of this profile.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataSection-model.domainResource.combatZonePeriod",0,*,"",""
"odh-OccupationalDataSection-model.domainResource.usualWork","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/odh-UsualWork-model {[]} {[]}
","Related data elements about the work a person reports having performed for the longest amount of time during his or her life, regardless of the person’s current job and regardless of whether or not the person performed this work for a continuous time. Knowledge of person’s Usual Work can potentially assist in diagnosis, treatment and/or prevention of chronic condition(s) or conditions with a long latency. The potential for exposure to Occupational Hazard(s) related to an Occupation and/or an Industry can change over time, and a person could have been in and out of their Usual Work over time, so additional data are helpful to fully evaluate the possible impact of the person’s Usual Work on their health and guide appropriate use of screening tests to detect early disease. Example: a person has worked for a total of 30 years as a building carpenter (Occupation), but in various industries, mostly hotel construction. Her Usual Occupation is ‘building carpenter’ and her Usual Industry is ‘hotel construction.’ Usual Work does not include work that was unpaid or voluntary.","Related data elements about the work a person reports having performed for the longest amount of time during his or her life, regardless of the person’s current job and regardless of whether or not the person performed this work for a continuous time. Knowledge of person’s Usual Work can potentially assist in diagnosis, treatment and/or prevention of chronic condition(s) or conditions with a long latency. The potential for exposure to Occupational Hazard(s) related to an Occupation and/or an Industry can change over time, and a person could have been in and out of their Usual Work over time, so additional data are helpful to fully evaluate the possible impact of the person’s Usual Work on their health and guide appropriate use of screening tests to detect early disease. Example: a person has worked for a total of 30 years as a building carpenter (Occupation), but in various industries, mostly hotel construction. Her Usual Occupation is ‘building carpenter’ and her Usual Industry is ‘hotel construction.’ Usual Work does not include work that was unpaid or voluntary.","","","","","","","","","",,,,,"",,,,"odh-OccupationalDataSection-model.domainResource.usualWork",0,1,"",""
