"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-Composition-model","","","",0,*,"","","","","","A composition represents a set of Entries sharing common provenance, a document such as an extract from a patient record, a knowledge artifact, or a catalog definition.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model",0,*,"",""
"shr-core-Composition-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.metadata",0,1,"",""
"shr-core-Composition-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.language",0,1,"",""
"shr-core-Composition-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.implicitRules",0,1,"",""
"shr-core-Composition-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.narrative",0,1,"",""
"shr-core-Composition-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/composition-status","",,,,"shr-core-Composition-model.status",1,1,"",""
"shr-core-Composition-model.identifier","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.identifier",0,1,"",""
"shr-core-Composition-model.type","","","",1,1,"","","","Coding {[]} {[]}
","A code describing the item at a greater level of detail.","A code describing the item at a greater level of detail.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/doc-typecodes","http://ncimeta.nci.nih.gov#C0332307
",,,,"shr-core-Composition-model.type",1,1,"",""
"shr-core-Composition-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The general type or class of this item.","The general type or class of this item.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.category",0,1,"",""
"shr-core-Composition-model.focalSubject","","","",1,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-DomainResource-model {[]} {[]}
","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","The person or entity that the information in this resource relates to, if different than the person of record. The subject of information can be a reference or a code, the latter when the subject is described generically, for example, in terms of a relationship to the subject of record (e.g., wife).","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.focalSubject",1,1,"",""
"shr-core-Composition-model.careContext","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Encounter-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.careContext",0,1,"",""
"shr-core-Composition-model.statementDateTime","","","",1,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-Composition-model.statementDateTime",1,1,"",""
"shr-core-Composition-model.author[x]","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-RelatedPerson-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Organization-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Device-model]]}
","The actor who created the item and it responsible for the content (regardless of the information source or who recorded it). If only the author is given, it is assumed the author is the information source and the recorder.","The actor who created the item and it responsible for the content (regardless of the information source or who recorded it). If only the author is given, it is assumed the author is the information source and the recorder.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.author[x]",1,*,"",""
"shr-core-Composition-model.title","","","",1,1,"","","","string {[]} {[]}
","A distinguishing word or group of words naming an item.","A distinguishing word or group of words naming an item.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.title",1,1,"",""
"shr-core-Composition-model.confidentialityCode","","","",0,1,"","","","Coding {[]} {[]}
","The code specifying the level of confidentiality.","The code specifying the level of confidentiality.","","","","","","","","","",,,,,"",,,,"shr-core-Composition-model.confidentialityCode",0,1,"",""
