"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"shr-core-ReferralRequest-model","","","",0,*,"","","","","","Used to record and send details about a request for referral service or transfer of a patient to the care of another provider or provider organization.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model",0,*,"",""
"shr-core-ReferralRequest-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.metadata",0,1,"",""
"shr-core-ReferralRequest-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.language",0,1,"",""
"shr-core-ReferralRequest-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.implicitRules",0,1,"",""
"shr-core-ReferralRequest-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.narrative",0,1,"",""
"shr-core-ReferralRequest-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.status",1,1,"",""
"shr-core-ReferralRequest-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.identifier",0,*,"",""
"shr-core-ReferralRequest-model.subjectOfRecord[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Patient-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Practitioner-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Group-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Device-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Specimen-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Location-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Medication-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-ResearchSubject-model]]}
","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.","The subject of a clinical statement, often called the Patient or the Subject. The SubjectOfRecord typically identifies the clinical record in which this statement is contained. If the statement should be in John Doe's patient record, then John Doe is the subject of record. When there is no patient, the SubjectOfRecord can also be a location, group, or other entity that statement pertains to. For example, observations concerning a hospital ward would have a Location as the SubjectOfRecord.

Note that the word 'Subject' is used here in the sense of a person or entity subjected to observations or actions, not subject as in a conceptual topic, like heart disease.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.subjectOfRecord[x]",1,1,"",""
"shr-core-ReferralRequest-model.careContext","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Encounter-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.careContext",0,1,"",""
"shr-core-ReferralRequest-model.statementDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"shr-core-ReferralRequest-model.statementDateTime",0,1,"",""
"shr-core-ReferralRequest-model.reasonCode","","","",0,1,"","","","Coding {[]} {[]}
","The explanation or justification for the current item or action, as a code.","The explanation or justification for the current item or action, as a code.
Reason is a string or CodeableConcept in DSTU2 but in later versions only a CodeableConcept.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0566251
",,,,"shr-core-ReferralRequest-model.reasonCode",0,1,"",""
"shr-core-ReferralRequest-model.referralReasonReference[x]","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Condition-model], CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Observation-model]]}
","Indicates another resource whose existence justifies this request.","Indicates another resource whose existence justifies this request.","","","","","","","","","",,,,,"","type:$this}
","",,"open","shr-core-ReferralRequest-model.referralReasonReference[x]",0,1,"",""
"shr-core-ReferralRequest-model.referralReasonReferenceShr-core-Condition-model","Condition","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/odh/StructureDefinition/shr-core-Condition-model]]}
","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.","A condition that is or may be present in a subject. 'Condition' is interpreted broadly and could be a disorder, abnormality, problem, injury, complaint, functionality, illness, disease, ailment, sickness, affliction, upset, difficulty, disorder, symptom, worry, or trouble.
The Observation-based class, ConditionAbsent, should be used to describe conditions that are not present or negative findings.
SHR Condition uses the SHR BodyLocation structure that includes not only a code, but optional laterality, direction, clock direction, and distance. If included, the distance is measured from the location specified by the code, laterality, and direction.","","","","","","","","","",,,,,"",,,,"shr-core-ReferralRequest-model.referralReasonReference[x]",0,1,"",""
